rec.version/U/1,rec.eventID/U/1,rec.runID/U/1,rec.timeSliceID/U/1,rec.trigger_flags/U/1,rec.event_flags/U/1,rec.gtc_flags/U/1,rec.gpsSec/U/1,rec.gpsNanosec/U/1,rec.nChTot/U/1,rec.nChAvail/U/1,rec.nHitTot/U/1,rec.nHit/U/1,rec.nHitSP10/U/1,rec.nHitSP20/U/1,rec.nTankTot/U/1,rec.nTankAvail/U/1,rec.nTankHitTot/U/1,rec.nTankHit/U/1,rec.CxPE30PMT/U/1,rec.CxPE40PMT/U/1,rec.CxPE50PMT/U/1,rec.CxPE30XnCh/U/1,rec.CxPE40XnCh/U/1,rec.CxPE50XnCh/U/1,rec.angleFitStatus/U/1,rec.angleFitNdof/U/1,rec.planeFitStatus/U/1,rec.coreFitNdof/U/1,rec.coreFitStatus/U/1,rec.CxPE30/F/0.01,rec.CxPE40/F/0.01,rec.CxPE50/F/0.01,rec.CxPE30SPTime/F/0.1,rec.CxPE40SPTime/F/0.1,rec.CxPE50SPTime/F/0.1,rec.zenithAngle/F/0.0001,rec.azimuthAngle/F/0.0001,rec.dec/F/0.0001,rec.ra/F/0.0001,rec.angleFitChi2/F/0.01,rec.planeZenith/F/0.0001,rec.planeAzimuth/F/0.0001,rec.planeDec/F/0.0001,rec.planeRa/F/0.0001,rec.coreX/F/0.1,rec.coreY/F/0.1,rec.logCoreAmplitude/F/0.1,rec.showerAge/F/0.1,rec.coreFitUnc/F/0.1,rec.coreFitChi2/F/0.01,rec.logMaxPE/F/0.01,rec.logNPE/F/0.01,rec.logEnergy/F/0.01
5,40,2054,1125001,1,0,3,1100001987,630127190,822,808,102,63,30,42,230,230,43,33,509,509,509,2,4,9,0,60,0,59,0,18.51,18.51,18.51,13.7,13.7,13.7,0.2963,-2.0164,0.0622,2.2779,697.5,0.2925,-1.9873,0.0623,2.2871,68.6,248.4,3.7,0,0.4,1580.54,2.39,2.68,0.85
5,41,2054,1125001,1,0,3,1100001987,630321858,822,804,88,52,29,29,230,228,33,23,917,519,519,27,29,29,0,50,0,49,0,0.57,0.44,0.44,0,2,2,0.1948,0.9601,0.4884,2.5303,649.49,0.222,0.8643,0.4959,2.5675,8.30000000000001,232.6,3.2,0,20.1,575.79,1.33,2.17,0.85
5,42,2054,1125001,1,0,3,1100001987,630334588,822,818,78,36,12,19,230,230,46,26,960,960,960,2,2,3,0,33,0,32,0,6.34,6.34,6.34,-0.800000000000004,-0.799999999999997,-0.799999999999997,0.1898,-1.0385,0.1667,2.5015,473.53,0.1622,-1.1702,0.1815,2.4684,30.8,258,3.3,0,123.5,1444.63,1.42,2.1,0.85
5,43,2054,1125001,1,0,3,1100001987,630562205,822,817,181,154,112,126,230,230,77,73,944,944,761,46,74,101,0,152,0,151,0,68.11,68.11,22.05,7.8,7.8,5.1,0.5681,-1.22,-0.2049,2.5943,1459.5,0.5735,-1.2029,-0.2068,2.605,28.2,214,4.5,0,4.4,12643.58,2.01,3.07,0.85
5,44,2054,1125001,1,0,3,1100001987,630595619,822,817,292,255,160,214,230,230,133,129,197,197,690,33,43,61,0,249,0,248,0,89.41,89.41,46.26,-0.600000000000001,-0.600000000000001,-3.2,0.933,-3.0437,0.1198,1.468,2243.58,0.9121,-3.0444,0.127,1.4879,118.7,255.5,4.9,0,68.3,11160.7,1.98,3.11,0.85
5,45,2054,1125001,1,0,3,1100001987,630619645,822,808,90,49,31,40,230,230,33,25,891,891,891,1,4,6,0,47,0,46,0,26.63,26.63,26.63,9,9,9,0.1079,-0.6801,0.2625,2.4911,475.4,0.2246,3.0258,0.3486,2.1667,49.1,183.7,1.9,0,200,2384.45,2.55,2.79,0.85
5,46,2054,1125001,1,0,3,1100001987,630622537,822,817,255,229,141,174,230,230,118,112,949,368,368,45,64,81,0,216,0,215,0,15.28,14.72,14.72,-35.3,15.8,15.8,0.83,-2.6153,-0.1313,1.7051,2040.51,0.8403,-2.6146,-0.1375,1.6969,-20,296.2,4.1,0,0.3,2454.25,2.03,3,0.85
5,47,2054,1125001,1,0,3,1100001987,630781672,822,806,90,47,28,29,230,230,33,25,654,250,250,1,5,5,0,44,0,43,0,17.95,10.8,10.8,-39,0.100000000000001,0.100000000000001,0.7003,3.0011,0.3407,1.6606,533.45,0.7003,3.001,0.3408,1.6606,16.7,213.3,2.6,0,0,794.38,2.04,2.5,0.85
5,48,2054,1125001,1,0,3,1100001987,630827297,822,809,107,68,51,60,230,230,50,35,74,74,74,37,37,47,0,65,0,64,0,12.56,12.56,12.56,10.3,10.3,10.3,0.2969,3.1033,0.3276,2.0904,604.79,0.3201,3.0635,0.3386,2.0653,17.1,213.3,3.2,0,1.1,655.2,1.43,2.33,0.85
5,49,2054,1125001,1,8,3,1100001987,630891815,822,822,884,782,525,725,230,230,229,229,903,903,903,0,0,4,0,780,0,779,0,2297.58,2297.58,2297.58,9.09999999999999,9.1,9.1,0.2567,-0.3545,0.2336,2.6516,7030.66,0.254,-0.3302,0.2403,2.6515,-19.6,353.9,6.5,0,7.7,153663.52,3.7,4.46,0.85
