rec.version/U/1,rec.eventID/U/1,rec.runID/U/1,rec.timeSliceID/U/1,rec.trigger_flags/U/1,rec.event_flags/U/1,rec.gtc_flags/U/1,rec.gpsSec/U/1,rec.gpsNanosec/U/1,rec.nChTot/U/1,rec.nChAvail/U/1,rec.nHitTot/U/1,rec.nHit/U/1,rec.nHitSP10/U/1,rec.nHitSP20/U/1,rec.nTankTot/U/1,rec.nTankAvail/U/1,rec.nTankHitTot/U/1,rec.nTankHit/U/1,rec.CxPE30PMT/U/1,rec.CxPE40PMT/U/1,rec.CxPE50PMT/U/1,rec.CxPE30XnCh/U/1,rec.CxPE40XnCh/U/1,rec.CxPE50XnCh/U/1,rec.angleFitStatus/U/1,rec.angleFitNdof/U/1,rec.planeFitStatus/U/1,rec.coreFitNdof/U/1,rec.coreFitStatus/U/1,rec.CxPE30/F/0.01,rec.CxPE40/F/0.01,rec.CxPE50/F/0.01,rec.CxPE30SPTime/F/0.1,rec.CxPE40SPTime/F/0.1,rec.CxPE50SPTime/F/0.1,rec.zenithAngle/F/0.0001,rec.azimuthAngle/F/0.0001,rec.dec/F/0.0001,rec.ra/F/0.0001,rec.angleFitChi2/F/0.01,rec.planeZenith/F/0.0001,rec.planeAzimuth/F/0.0001,rec.planeDec/F/0.0001,rec.planeRa/F/0.0001,rec.coreX/F/0.1,rec.coreY/F/0.1,rec.logCoreAmplitude/F/0.1,rec.showerAge/F/0.1,rec.coreFitUnc/F/0.1,rec.coreFitChi2/F/0.01,rec.logMaxPE/F/0.01,rec.logNPE/F/0.01,rec.logEnergy/F/0.01
5,84,2054,1125001,1,0,3,1100001987,633885395,822,818,78,54,24,28,230,230,35,29,900,900,900,0,0,1,0,51,0,50,0,112.87,112.87,112.87,0.899999999999999,0.899999999999999,0.899999999999999,0.1322,-2.6405,0.2658,2.2842,700.44,0.1929,-2.6209,0.2313,2.2326,-61.7,251.4,4.6,0,200,11076.68,2.05,2.61,0.85
5,85,2054,1125001,1,0,3,1100001987,634075086,822,798,107,54,31,39,230,227,33,26,361,361,361,0,0,5,0,50,0,49,0,74.41,74.41,74.41,1.59999999999999,1.6,1.6,0.3836,-0.2023,0.2328,2.7906,533.84,0.388,-0.1845,0.2378,2.797,14.5,137.9,4.7,0,200,7652.17,1.87,2.58,0.85
5,86,2054,1125001,1,0,3,1100001987,634093845,822,807,114,71,45,50,230,228,50,37,477,477,477,9,11,17,0,64,0,63,0,34.57,34.57,34.57,1.09999999999999,1.1,1.1,0.2591,-0.1216,0.2892,2.6729,633.23,0.2557,-0.1069,0.2936,2.6701,-13.3,219.3,2.8,0,0.2,1566.14,1.54,2.4,0.85
5,87,2054,1125001,1,0,3,1100001987,634171443,822,811,103,50,19,22,230,229,41,25,868,868,868,8,8,10,0,47,0,46,0,42.94,42.94,42.94,5.9,5.9,5.9,0.9845,2.0814,1.0497,1.447,709.24,0.8404,2.1258,0.954,1.6584,66.7,258.3,3.7,0,1.3,5548.35,2.19,2.73,0.85
5,88,2054,1125001,1,0,3,1100001987,634238815,822,820,90,59,22,29,230,230,46,36,126,126,126,4,13,21,0,56,0,55,0,27.21,27.21,27.21,37.6,37.6,37.6,0.4848,-1.7407,-0.1469,2.3245,783.57,0.4975,-1.7121,-0.1615,2.3361,38.7,221.4,2.8,0,3.6,2328.09,2.95,3.06,0.85
5,89,2054,1125001,1,0,3,1100001987,634407179,822,809,103,52,1,6,230,229,45,33,298,298,298,1,1,3,1,3,1,50,0,5.11,5.11,5.11,-17.5,-17.5,-17.5,3.1416,0,-0.3315,5.5459,-1,0.1575,-0.5043,0.2524,2.5466,33.7,213.5,3.2,0,0.5,281.86,2.18,2.49,0.85
5,90,2054,1125001,1,0,3,1100001987,634435428,822,809,87,52,23,30,230,229,31,26,420,420,641,13,29,34,0,50,0,49,0,55.51,55.51,2.45,-30.4,-30.4,11.6,0.392,-2.2496,0.0196000000000001,2.162,668.9,0.3551,-2.2508,0.0495,2.1836,56.1,262.2,3.9,0,14.5,6221.01,1.74,2.61,0.85
5,91,2054,1125001,1,0,3,1100001987,634605479,822,813,67,36,13,17,230,229,34,25,980,980,980,0,3,3,0,34,0,33,0,18.31,18.31,18.31,-21.7,-21.7,-21.7,0.2843,-1.3456,0.0539000000000001,2.4671,512.57,0.2897,-1.4043,0.0455,2.4517,-3.8,287,3.2,0,200,783.28,3.7,3.71,0.85
5,92,2054,1125001,1,0,3,1100001987,634911212,822,816,63,41,34,34,230,230,26,20,882,861,861,16,22,25,0,38,0,37,0,9.7,5.8,5.8,4.4,8.2,8.2,0.5333,-0.653,-0.0117999999999999,2.82,308.27,0.5356,-0.6493,-0.0119,2.8229,-21.8,288.4,3.3,0,0.1,251.94,2.07,2.58,0.85
5,93,2054,1125001,1,0,3,1100001987,635162265,822,818,78,64,28,40,230,230,48,42,1006,1006,1006,6,13,15,0,60,0,59,0,19.36,19.36,19.36,-4.6,-4.6,-4.6,0.4846,-2.7285,0.1114,1.9605,748.73,0.4608,-2.7151,0.1178,1.9844,34.4,232.5,3.7,0,200,1137.1,1.29,2.25,0.85
5,94,2054,1125001,1,0,3,1100001987,635210176,822,817,78,43,23,28,230,230,39,27,961,961,961,11,16,19,0,42,0,41,0,13.47,13.47,13.47,-1.3,-1.3,-1.3,0.6739,1.7831,0.9811,2.1656,531.66,0.6646,1.7831,0.9724,2.1715,26.6,276.4,3,0,22.6,739.86,1.45,2.27,0.85
5,95,2054,1125001,1,0,3,1100001987,635217530,822,807,90,48,36,38,230,229,39,29,738,738,616,15,18,30,0,46,0,45,0,15.57,15.57,15.52,-5.90000000000001,-5.9,-3.3,0.2096,-1.7528,0.1252,2.3663,415.71,0.2078,-1.7528,0.1269,2.3666,52.9,191.2,3.3,0,0.8,1105.71,1.38,2.39,0.85
5,96,2054,1125001,1,0,3,1100001987,635244518,822,811,69,44,31,35,230,229,28,23,798,798,798,24,31,34,0,42,0,41,0,28.15,28.15,28.15,0.199999999999996,0.200000000000003,0.200000000000003,0.1206,0.9986,0.432,2.4761,387.77,0.1083,1.0999,0.4275,2.4582,18.7,272.1,3.3,0,0.9,1321.1,1.45,2.38,0.85
5,97,2054,1125001,1,0,3,1100001987,635251178,822,806,81,51,35,38,230,229,35,26,379,379,379,11,12,21,0,41,0,40,0,25.9,25.9,25.9,0.199999999999996,0.200000000000003,0.200000000000003,0.0849,3.0257,0.3401,2.3148,414.43,0.0908,2.925,0.3496,2.3099,-18.1,273.7,3.7,0,0,1507.6,2.35,2.92,0.85
5,98,2054,1125001,1,0,3,1100001987,635535373,822,815,92,59,50,56,230,229,37,28,333,333,333,32,40,44,0,57,0,56,0,40.51,40.51,40.51,2.3,2.3,2.3,0.4504,0.6062,0.5557,2.8389,436.69,0.4498,0.6035,0.5543,2.8389,98.8,276.2,3.5,0,0.3,2351.27,1.68,2.59,0.85
